Date,Open,High,Low,Close,Adj Close,Volume
2015-04-24,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-04-27,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-04-28,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-04-29,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-04-30,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-01,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-04,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-05,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-06,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-07,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-08,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-11,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-12,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-13,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-14,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-15,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-18,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-19,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-20,12616.000000,12616.000000,12616.000000,12616.000000,12616.000000,0
2015-05-21,7668.520020,7998.350098,7503.609863,7998.350098,7998.350098,2720077
2015-05-22,8245.719727,8740.469727,7998.350098,8740.469727,8740.469727,2801489
2015-05-26,10389.599609,10389.599609,8987.839844,8987.839844,8987.839844,2989429
2015-05-27,9070.290039,9812.410156,8740.469727,9647.500000,9647.500000,2622948
2015-05-28,9894.870117,10472.099609,9647.500000,10059.799805,10059.799805,1846933
2015-05-29,10142.200195,10142.200195,9317.669922,9482.580078,9482.580078,1543831
2015-06-01,9482.580078,10142.200195,9400.120117,9565.040039,9565.040039,1508261
2015-06-02,9565.040039,9977.320313,9565.040039,9647.500000,9647.500000,1448803
2015-06-03,9729.950195,9977.320313,9647.500000,9894.870117,9894.870117,955404
2015-06-04,9894.870117,10884.400391,9894.870117,10884.400391,10884.400391,2533265
2015-06-05,11379.099609,11791.400391,11131.700195,11544.000000,11544.000000,3075595
2015-06-08,11791.400391,12038.799805,11379.099609,11379.099609,11379.099609,2134998
2015-06-09,11379.099609,11461.599609,10307.200195,10801.900391,10801.900391,3379207
2015-06-10,10389.599609,10884.400391,10307.200195,10637.000000,10637.000000,1222488
2015-06-11,10637.000000,11049.299805,10389.599609,10472.099609,10472.099609,1218911
2015-06-12,10719.400391,10966.799805,10389.599609,10801.900391,10801.900391,2393504
2015-06-15,10801.900391,11049.299805,10389.599609,10637.000000,10637.000000,1065025
2015-06-16,10637.000000,10719.400391,9812.410156,9812.410156,9812.410156,1482866
2015-06-17,9812.410156,9977.320313,9317.669922,9317.669922,9317.669922,1804390
2015-06-18,8658.009766,9729.950195,8493.089844,9647.500000,9647.500000,1109788
2015-06-19,9565.040039,9729.950195,9235.209961,9317.669922,9317.669922,1223556
2015-06-22,9317.669922,9647.500000,8905.379883,9482.580078,9482.580078,734611
2015-06-23,9317.669922,9565.040039,9317.669922,9400.120117,9400.120117,518230
2015-06-24,9152.750000,9482.580078,9070.290039,9070.290039,9070.290039,3478191
2015-06-25,9070.290039,9152.750000,8658.009766,8658.009766,8658.009766,2349036
2015-06-26,8987.839844,9482.580078,8493.089844,9482.580078,9482.580078,3658745
2015-06-29,10059.799805,10307.200195,9647.500000,9894.870117,9894.870117,3638177
2015-06-30,9812.410156,9894.870117,9235.209961,9235.209961,9235.209961,2204072
2015-07-01,9070.290039,9894.870117,8493.089844,9317.669922,9317.669922,2637974
2015-07-02,9482.580078,9729.950195,8987.839844,9647.500000,9647.500000,2225651
2015-07-06,9400.120117,9894.870117,9400.120117,9812.410156,9812.410156,3223744
2015-07-07,9647.500000,9812.410156,9482.580078,9565.040039,9565.040039,2374261
2015-07-08,9400.120117,9729.950195,9070.290039,9235.209961,9235.209961,2974524
2015-07-09,9070.290039,9317.669922,8905.379883,9235.209961,9235.209961,2095765
2015-07-10,9235.209961,9482.580078,8987.839844,8987.839844,8987.839844,2187461
2015-07-13,8740.469727,9070.290039,8575.549805,8575.549805,8575.549805,2364317
2015-07-14,8163.270020,8987.839844,8163.270020,8822.919922,8822.919922,2493657
2015-07-15,7998.350098,8822.919922,7998.350098,8410.639648,8410.639648,1315373
2015-07-16,7586.060059,8410.639648,7586.060059,8163.270020,8163.270020,1307830
2015-07-17,7421.149902,8493.089844,7421.149902,8163.270020,8163.270020,1006728
2015-07-20,8080.810059,8163.270020,7833.439941,7998.350098,7998.350098,1222573
2015-07-21,7750.979980,7998.350098,7586.060059,7668.520020,7668.520020,1179593
2015-07-22,7586.060059,8163.270020,7503.609863,7915.890137,7915.890137,1773780
2015-07-23,7998.350098,7998.350098,7750.979980,7750.979980,7750.979980,1066768
2015-07-24,7421.149902,8080.810059,7421.149902,7915.890137,7915.890137,1207123
2015-07-27,7173.779785,7998.350098,7173.779785,7668.520020,7668.520020,1013495
2015-07-28,7338.689941,8163.270020,7338.689941,7750.979980,7750.979980,1989165
2015-07-29,7421.149902,7915.890137,7421.149902,7915.890137,7915.890137,614537
2015-07-30,7915.890137,8658.009766,7833.439941,8575.549805,8575.549805,2359260
2015-07-31,8575.549805,8740.469727,8163.270020,8163.270020,8163.270020,1711194
2015-08-03,7421.149902,8163.270020,7421.149902,7750.979980,7750.979980,1252528
2015-08-04,7008.859863,7998.350098,7008.859863,7833.439941,7833.439941,956253
2015-08-05,7091.319824,8163.270020,7091.319824,8080.810059,8080.810059,925692
2015-08-06,8080.810059,8163.270020,7915.890137,7915.890137,7915.890137,1185221
2015-08-07,7503.609863,7998.350098,7503.609863,7915.890137,7915.890137,880869
2015-08-10,7503.609863,8080.810059,7503.609863,7833.439941,7833.439941,1088322
2015-08-11,7915.890137,8245.719727,7915.890137,7998.350098,7998.350098,1888797
2015-08-12,7256.240234,8080.810059,7256.240234,7833.439941,7833.439941,987821
2015-08-13,8575.549805,8575.549805,7503.609863,7668.520020,7668.520020,1314864
2015-08-14,7668.520020,7750.979980,7503.609863,7668.520020,7668.520020,1217492
2015-08-17,7668.520020,7833.439941,7338.689941,7503.609863,7503.609863,1268306
2015-08-18,8245.719727,8245.719727,7421.149902,7668.520020,7668.520020,690940
2015-08-19,8080.810059,8080.810059,7338.689941,7586.060059,7586.060059,1926817
2015-08-20,7833.439941,7833.439941,7256.240234,7256.240234,7256.240234,1094507
2015-08-21,7915.890137,7915.890137,6596.580078,6843.950195,6843.950195,2505869
2015-08-24,6761.490234,6761.490234,6184.290039,6184.290039,6184.290039,2097087
2015-08-25,5607.089844,6266.750000,5607.089844,5772.009766,5772.009766,2736570
2015-08-26,5194.810059,6349.209961,5194.810059,6349.209961,6349.209961,2568459
2015-08-27,6926.410156,6926.410156,6679.040039,6926.410156,6926.410156,3820405
2015-08-28,7586.060059,7586.060059,6679.040039,6926.410156,6926.410156,2085445
2015-08-31,7421.149902,7421.149902,6596.580078,6679.040039,6679.040039,1625224
2015-09-01,7338.689941,7338.689941,6514.120117,6596.580078,6596.580078,1237490
2015-09-02,6596.580078,6596.580078,6596.580078,6596.580078,6596.580078,0
2015-09-03,7173.779785,7173.779785,6596.580078,6679.040039,6679.040039,2444110
2015-09-04,7256.240234,7256.240234,6596.580078,6596.580078,6596.580078,756999
2015-09-08,6431.660156,6761.490234,6431.660156,6761.490234,6761.490234,1346516
2015-09-09,7338.689941,7338.689941,6679.040039,6679.040039,6679.040039,1562022
2015-09-10,7256.240234,7256.240234,6596.580078,6926.410156,6926.410156,2472070
2015-09-11,7008.859863,7503.609863,6843.950195,7091.319824,7091.319824,3337646
2015-09-14,7750.979980,7750.979980,6761.490234,6761.490234,6761.490234,1044905
2015-09-15,6761.490234,7008.859863,6761.490234,6926.410156,6926.410156,1917855
2015-09-16,7421.149902,7421.149902,6761.490234,6926.410156,6926.410156,1178308
2015-09-17,7338.689941,7338.689941,6843.950195,6843.950195,6843.950195,1135073
2015-09-18,7173.779785,7256.240234,6926.410156,6926.410156,6926.410156,1413242
2015-09-21,7586.060059,7586.060059,6843.950195,7091.319824,7091.319824,2265784
2015-09-22,7709.750000,7709.750000,7437.640137,7437.640137,7437.640137,3494561
2015-09-23,8072.560059,8072.560059,7346.939941,7619.049805,7619.049805,923785
2015-09-24,6893.419922,8072.560059,6893.419922,7800.450195,7800.450195,2846732
2015-09-25,7709.750000,7800.450195,7619.049805,7619.049805,7619.049805,1004609
2015-09-28,7619.049805,7619.049805,7256.240234,7256.240234,7256.240234,1214624
2015-09-29,7256.240234,7437.640137,7165.529785,7437.640137,7437.640137,1674698
2015-09-30,7528.339844,7528.339844,7346.939941,7346.939941,7346.939941,1103184
2015-10-01,7437.640137,7528.339844,7346.939941,7437.640137,7437.640137,763592
2015-10-02,7437.640137,7437.640137,7256.240234,7346.939941,7346.939941,756756
2015-10-05,7346.939941,7437.640137,7256.240234,7346.939941,7346.939941,790823
2015-10-06,7437.640137,7709.750000,7437.640137,7709.750000,7709.750000,1998943
2015-10-07,7709.750000,7800.450195,7437.640137,7437.640137,7437.640137,875936
2015-10-08,7528.339844,7800.450195,7437.640137,7619.049805,7619.049805,2227656
2015-10-09,7619.049805,7709.750000,7437.640137,7528.339844,7528.339844,881559
2015-10-12,7528.339844,7709.750000,7437.640137,7528.339844,7528.339844,1252330
2015-10-13,7528.339844,7528.339844,7437.640137,7437.640137,7437.640137,992140
2015-10-14,7528.339844,7528.339844,7256.240234,7346.939941,7346.939941,822575
2015-10-15,7346.939941,7437.640137,7256.240234,7346.939941,7346.939941,577710
2015-10-16,7437.640137,7528.339844,7346.939941,7346.939941,7346.939941,1016505
2015-10-19,7346.939941,7437.640137,7256.240234,7346.939941,7346.939941,595240
2015-10-20,7346.939941,7346.939941,7165.529785,7256.240234,7256.240234,738012
2015-10-21,7256.240234,7256.240234,6984.129883,6984.129883,6984.129883,993154
2015-10-22,6893.419922,7165.529785,6893.419922,7165.529785,7165.529785,781893
2015-10-23,7256.240234,7256.240234,7074.830078,7165.529785,7165.529785,989064
2015-10-26,7165.529785,7165.529785,6893.419922,6893.419922,6893.419922,803722
2015-10-27,6893.419922,6984.129883,6893.419922,6893.419922,6893.419922,865352
2015-10-28,6893.419922,6984.129883,6712.020020,6712.020020,6712.020020,1281921
2015-10-29,6802.720215,6984.129883,6712.020020,6984.129883,6984.129883,2316341
2015-10-30,7074.830078,7074.830078,6802.720215,6802.720215,6802.720215,695016
2015-11-02,7437.640137,7437.640137,6712.020020,6802.720215,6802.720215,1135354
2015-11-03,6802.720215,6802.720215,6712.020020,6802.720215,6802.720215,1003275
2015-11-04,7165.529785,7165.529785,6712.020020,6802.720215,6802.720215,1066228
2015-11-05,6712.020020,6893.419922,6712.020020,6893.419922,6893.419922,484218
2015-11-06,6893.419922,6893.419922,6621.319824,6621.319824,6621.319824,738344
2015-11-09,6621.319824,6802.720215,6621.319824,6621.319824,6621.319824,621590
2015-11-10,6621.319824,6621.319824,6439.910156,6530.609863,6530.609863,817394
2015-11-11,6530.609863,6621.319824,6349.209961,6349.209961,6349.209961,785564
2015-11-12,6349.209961,6439.910156,6167.799805,6349.209961,6349.209961,547060
2015-11-13,6258.500000,6349.209961,6258.500000,6258.500000,6258.500000,520600
2015-11-16,6349.209961,6802.720215,6349.209961,6802.720215,6802.720215,2716939
2015-11-17,6893.419922,7165.529785,6712.020020,6712.020020,6712.020020,1779137
2015-11-18,6712.020020,6802.720215,6712.020020,6712.020020,6712.020020,687740
2015-11-19,6712.020020,6893.419922,6621.319824,6893.419922,6893.419922,1444275
2015-11-20,6893.419922,6984.129883,6712.020020,6893.419922,6893.419922,991148
2015-11-23,6984.129883,7346.939941,6984.129883,7165.529785,7165.529785,2890608
2015-11-24,7256.240234,7256.240234,6984.129883,7074.830078,7074.830078,974830
2015-11-25,6984.129883,7709.750000,6621.319824,7437.640137,7437.640137,3418193
2015-11-27,7437.640137,7528.339844,7074.830078,7074.830078,7074.830078,2090526
2015-11-30,6984.129883,7074.830078,6802.720215,6802.720215,6802.720215,1839157
2015-12-01,6712.020020,6893.419922,6621.319824,6712.020020,6712.020020,1232738
2015-12-02,6802.720215,6893.419922,6712.020020,6802.720215,6802.720215,1218020
2015-12-03,6802.720215,7074.830078,6712.020020,6893.419922,6893.419922,1540800
2015-12-04,6893.419922,6893.419922,6712.020020,6802.720215,6802.720215,630117
2015-12-07,6802.720215,6802.720215,6621.319824,6802.720215,6802.720215,679079
2015-12-08,6712.020020,6802.720215,6621.319824,6802.720215,6802.720215,692916
2015-12-09,6802.720215,6984.129883,6712.020020,6712.020020,6712.020020,1586707
2015-12-10,6712.020020,6712.020020,6439.910156,6439.910156,6439.910156,1046173
