Date,Open,High,Low,Close,Adj Close,Volume
2012-01-04,67140000.000000,68220000.000000,62580000.000000,62760000.000000,62760000.000000,0
2012-01-05,64440000.000000,65700000.000000,59700000.000000,59880000.000000,59880000.000000,0
2012-01-06,58860000.000000,61200000.000000,56760000.000000,57960000.000000,57960000.000000,0
2012-01-09,56880000.000000,57840000.000000,55620000.000000,56220000.000000,56220000.000000,0
2012-01-10,52800000.000000,54480000.000000,51780000.000000,53880000.000000,53880000.000000,0
2012-01-11,54780000.000000,55920000.000000,54480000.000000,55440000.000000,55440000.000000,0
2012-01-12,55020000.000000,59040000.000000,53880000.000000,54000000.000000,54000000.000000,0
2012-01-13,56640000.000000,60120000.000000,56400000.000000,56880000.000000,56880000.000000,0
2012-01-17,53220000.000000,56640000.000000,51480000.000000,56040000.000000,56040000.000000,0
2012-01-18,55320000.000000,56580000.000000,51840000.000000,52080000.000000,52080000.000000,0
2012-01-19,50580000.000000,51660000.000000,48960000.000000,49140000.000000,49140000.000000,0
2012-01-20,49620000.000000,50040000.000000,45960000.000000,46260000.000000,46260000.000000,0
2012-01-23,46020000.000000,46560000.000000,43200000.000000,43800000.000000,43800000.000000,0
2012-01-24,45960000.000000,46320000.000000,43680000.000000,44100000.000000,44100000.000000,0
2012-01-25,44100000.000000,45240000.000000,40140000.000000,40440000.000000,40440000.000000,0
2012-01-26,38700000.000000,41640000.000000,38460000.000000,40440000.000000,40440000.000000,0
2012-01-27,41580000.000000,41820000.000000,38340000.000000,38760000.000000,38760000.000000,0
2012-01-30,41580000.000000,42120000.000000,39960000.000000,41040000.000000,41040000.000000,0
2012-01-31,39180000.000000,41820000.000000,38880000.000000,40980000.000000,40980000.000000,0
2012-02-01,39300000.000000,39900000.000000,37680000.000000,38820000.000000,38820000.000000,0
2012-02-02,37380000.000000,37800000.000000,36420000.000000,36480000.000000,36480000.000000,0
2012-02-03,33420000.000000,34080000.000000,32640000.000000,32640000.000000,32640000.000000,0
2012-02-06,33120000.000000,33300000.000000,31800000.000000,31860000.000000,31860000.000000,0
2012-02-07,32040000.000000,33240000.000000,31740000.000000,32340000.000000,32340000.000000,0
2012-02-08,32340000.000000,34260000.000000,32040000.000000,33840000.000000,33840000.000000,0
2012-02-09,34200000.000000,37260000.000000,33660000.000000,37200000.000000,37200000.000000,0
2012-02-10,41160000.000000,48120000.000000,40380000.000000,43560000.000000,43560000.000000,0
2012-02-13,38880000.000000,40020000.000000,36900000.000000,36960000.000000,36960000.000000,0
2012-02-14,38100000.000000,43740000.000000,37980000.000000,39180000.000000,39180000.000000,0
2012-02-15,39840000.000000,44220000.000000,39780000.000000,43620000.000000,43620000.000000,0
2012-02-16,45480000.000000,47100000.000000,39780000.000000,40080000.000000,40080000.000000,0
2012-02-17,38760000.000000,40920000.000000,38040000.000000,39600000.000000,39600000.000000,0
2012-02-21,38100000.000000,40080000.000000,37800000.000000,38880000.000000,38880000.000000,0
2012-02-22,39420000.000000,39720000.000000,36600000.000000,36780000.000000,36780000.000000,0
2012-02-23,36840000.000000,37500000.000000,31620000.000000,32160000.000000,32160000.000000,0
2012-02-24,31260000.000000,34680000.000000,30780000.000000,34380000.000000,34380000.000000,0
2012-02-27,36720000.000000,37020000.000000,32820000.000000,34920000.000000,34920000.000000,0
2012-02-28,35700000.000000,35940000.000000,33900000.000000,34140000.000000,34140000.000000,0
2012-02-29,33000000.000000,34560000.000000,31740000.000000,32940000.000000,32940000.000000,0
2012-03-01,32580000.000000,32880000.000000,31260000.000000,31740000.000000,31740000.000000,0
2012-03-02,31620000.000000,32700000.000000,31080000.000000,32220000.000000,32220000.000000,0
2012-03-05,32520000.000000,33240000.000000,31620000.000000,31920000.000000,31920000.000000,0
2012-03-06,35940000.000000,37380000.000000,34620000.000000,36780000.000000,36780000.000000,0
2012-03-07,35820000.000000,36300000.000000,33060000.000000,33240000.000000,33240000.000000,0
2012-03-08,31390000.000000,31690000.000000,30100000.000000,30510000.000000,30510000.000000,0
2012-03-09,29620000.000000,29740000.000000,28050000.000000,29290000.000000,29290000.000000,0
2012-03-12,28480000.000000,28600000.000000,26390000.000000,26590000.000000,26590000.000000,0
2012-03-13,25050000.000000,25430000.000000,23740000.000000,24170000.000000,24170000.000000,0
2012-03-14,23780000.000000,26960000.000000,23690000.000000,25690000.000000,25690000.000000,0
2012-03-15,26300000.000000,26670000.000000,24860000.000000,24860000.000000,24860000.000000,0
2012-03-16,24600000.000000,25430000.000000,24390000.000000,24770000.000000,24770000.000000,0
